Customer_Age,Gender,Dependent_count,Income_Category,Card_Category,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Credit_Limit,Avg_Utilization_Ratio
45,M,3,$60K - $80K,Blue,11914.0,1144,42,12691.0,0.061
49,F,5,Less than $40K,Blue,7392.0,1291,33,8256.0,0.105
51,M,3,$80K - $120K,Blue,3418.0,1887,20,3418.0,0.0
40,F,4,Less than $40K,Blue,796.0,1171,20,3313.0,0.76
40,M,3,$60K - $80K,Blue,4716.0,816,28,4716.0,0.0
44,M,2,$40K - $60K,Blue,2763.0,1088,24,4010.0,0.311
51,M,4,$120K +,Gold,32252.0,1330,31,34516.0,0.066
32,M,0,$60K - $80K,Silver,27685.0,1538,36,29081.0,0.048
37,M,3,$60K - $80K,Blue,19835.0,1350,24,22352.0,0.113
48,M,2,$80K - $120K,Blue,9979.0,1441,32,11656.0,0.144
42,M,5,$120K +,Blue,5281.0,1201,42,6748.0,0.217
65,M,1,$40K - $60K,Blue,7508.0,1314,26,9095.0,0.174
56,M,1,$80K - $120K,Blue,11751.0,1539,17,11751.0,0.0
35,M,3,$60K - $80K,Blue,6881.0,1311,33,8547.0,0.195
57,F,2,Less than $40K,Blue,1756.0,1570,29,2436.0,0.279
44,M,4,$80K - $120K,Blue,3262.0,1348,27,4234.0,0.23
48,M,4,$80K - $120K,Blue,28005.0,1671,27,30367.0,0.078
41,M,3,$80K - $120K,Blue,12244.0,1028,21,13535.0,0.095
61,M,1,$40K - $60K,Blue,676.0,1336,30,3193.0,0.788
45,F,2,Unknown,Blue,13313.0,1207,21,14470.0,0.08
47,M,1,$60K - $80K,Blue,19179.0,1178,27,20979.0,0.086
62,F,0,Less than $40K,Blue,1438.3,692,16,1438.3,0.0
41,M,3,$40K - $60K,Blue,3790.0,931,18,4470.0,0.152
47,F,4,Less than $40K,Blue,932.0,1126,23,2492.0,0.626
54,M,2,$80K - $120K,Blue,12217.0,1110,21,12217.0,0.0
41,F,3,Less than $40K,Blue,6099.0,1051,22,7768.0,0.215
59,M,1,$40K - $60K,Blue,13410.0,1197,23,14784.0,0.093
63,M,1,$60K - $80K,Blue,9205.0,1904,40,10215.0,0.099
44,F,3,Unknown,Blue,10100.0,1052,18,10100.0,0.0
47,M,4,$40K - $60K,Blue,3423.0,1045,38,4785.0,0.285
53,M,3,$80K - $120K,Blue,942.0,1038,25,2753.0,0.658
53,M,2,$60K - $80K,Blue,761.0,1596,26,2451.0,0.69
41,M,4,$60K - $80K,Blue,6406.0,1589,24,8923.0,0.282
53,F,2,Less than $40K,Blue,1160.0,1411,28,2650.0,0.562
58,M,0,$80K - $120K,Blue,10859.0,1291,24,12555.0,0.135
55,F,1,Less than $40K,Blue,1606.0,1407,43,3520.0,0.544
55,F,3,Less than $40K,Blue,737.0,1877,37,3035.0,0.757
42,F,4,Less than $40K,Gold,15433.0,966,22,15433.0,0.0
57,F,1,$40K - $60K,Blue,2786.0,1464,28,3672.0,0.241
66,F,0,Unknown,Blue,7277.0,704,16,7882.0,0.077
45,M,3,$80K - $120K,Blue,31848.0,1109,28,32426.0,0.018
51,M,2,$40K - $60K,Blue,4001.0,1347,28,6205.0,0.355
50,F,1,$40K - $60K,Silver,14787.0,1756,33,17304.0,0.145
49,M,3,$60K - $80K,Blue,3906.0,1756,32,3906.0,0.0
38,F,4,Unknown,Blue,7775.0,1042,23,9830.0,0.209
49,M,4,$80K - $120K,Blue,34516.0,1444,28,34516.0,0.0
56,M,2,$60K - $80K,Blue,853.0,1741,27,2283.0,0.626
59,M,1,$40K - $60K,Blue,528.0,1719,27,2548.0,0.793
46,M,3,$80K - $120K,Blue,18023.0,1217,27,19458.0,0.074
52,M,1,$80K - $120K,Blue,3518.0,1140,40,4745.0,0.259
